"","#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl","New Cases/1M pop","New Deaths/1M pop","Active Cases/1M pop"
"85",85,"S. Korea","144,637","+485","1,974","+1","134,861","+599","7,802","152","2,819","38","9,972,297","194,353","51,310,261","Asia","355","25,993",5,9,0.02,"152"
"86",86,"Myanmar","144,456","+139","3,227","+2","132,525","+73","8,704","","2,639","59","2,633,023","48,093","54,748,857","Asia","379","16,966",21,3,0.04,"159"
"87",87,"Latvia","134,888","+76","2,413","","128,619","","3,856","53","72,259","1,293","2,724,204","1,459,344","1,866,732","Europe","14","774",1,41,NA,"2,066"
"88",88,"Albania","132,384","+5","2,452","+1","129,702","+38","230","18","46,049","853","741,271","257,845","2,874,870","Europe","22","1,172",4,2,0.3,"80"
"89",89,"Algeria","131,283","+325","3,527","+9","91,413","+215","36,343","24","2,945","79","230,861","5,178","44,584,638","Africa","340","12,641",193,7,0.2,"815"
"90",90,"Estonia","130,156","+37","1,264","+1","124,716","+57","4,176","10","98,056","952","1,450,619","1,092,855","1,327,366","Europe","10","1,050",1,28,0.8,"3,146"
"91",91,"Norway","126,923","+106","785","","88,952","","37,186","11","23,243","144","5,847,413","1,070,831","5,460,633","Europe","43","6,956",1,19,NA,"6,810"
"92",92,"Kyrgyzstan","107,335","+362","1,852","+5","100,722","+275","4,761","102","16,204","280","1,165,018","175,879","6,623,965","Asia","62","3,577",6,55,0.8,"719"
"93",93,"Uzbekistan","101,964","+242","696","","97,861","+147","3,407","23","3,006","21","1,377,915","40,624","33,919,080","Asia","333","48,734",25,7,NA,"100"
"94",94,"Zambia","100,765","+487","1,315","+7","93,694","+320","5,756","243","5,343","70","1,619,450","85,870","18,859,424","Africa","187","14,342",12,26,0.4,"305"
"95",95,"Montenegro","99,834","+22","1,594","+2","97,621","+43","619","60","158,936","2,538","422,387","672,441","628,140","Europe","6","394",1,35,3,"985"
"96",96,"Ghana","94,228","","787","","92,362","","1,079","6","2,975","25","1,188,952","37,538","31,673,311","Africa","336","40,246",27,NA,NA,"34"
"97",97,"Finland","93,281","+55","959","","46,000","","46,322","11","16,811","173","5,116,206","922,050","5,548,732","Europe","59","5,786",1,10,NA,"8,348"
"98",98,"Afghanistan","82,326","+1,582","3,251","+56","58,998","+376","20,077","1,124","2,072","82","501,465","12,619","39,739,418","Asia","483","12,224",79,40,1,"505"
"99",99,"Cameroon","78,929","","1,275","","73,974","","3,680","122","2,906","47","1,694,017","62,379","27,156,713","Africa","344","21,299",16,NA,NA,"136"
"100",100,"El Salvador","74,141","","2,274","+4","69,215","","2,652","27","11,377","349","1,000,769","153,571","6,516,640","North America","88","2,866",7,NA,0.6,"407"
"101",101,"Cyprus","72,779","","363","","70,701","","1,715","17","59,874","299","6,955,243","5,721,993","1,215,528","Asia","17","3,349",0,NA,NA,"1,411"
"102",102,"Mozambique","71,145","+31","838","+1","69,687","+25","620","17","2,219","26","561,181","17,502","32,064,110","Africa","451","38,263",57,1,0.03,"19"
"103",103,"Luxembourg","70,256","+74","818","","68,764","+208","674","2","110,567","1,287","2,942,489","4,630,793","635,418","Europe","9","777",0,116,NA,"1,061"
"104",104,"Maldives","67,950","","187","+2","48,086","","19,677","90","123,688","340","900,286","1,638,776","549,365","Asia","8","2,938",1,NA,4,"35,818"
"105",105,"Mongolia","66,443","+1,177","313","+2","54,081","+301","12,049","126","19,969","94","3,000,207","901,713","3,327,230","Asia","50","10,630",1,354,0.6,"3,621"
"106",106,"Singapore","62,210","+14","33","","61,660","+25","517","2","10,556","6","11,947,790","2,027,421","5,893,098","Asia","95","178,579",0,2,NA,"88"
"107",107,"Namibia","59,092","+385","920","+8","52,390","+358","5,782","57","22,873","356","450,044","174,197","2,583,535","Africa","44","2,808",6,149,3,"2,238"
"108",108,"Botswana","58,095","+1,878","885","+19","53,887","+1,212","3,323","1","24,251","369","1,193,343","498,142","2,395,587","Africa","41","2,707",2,784,8,"1,387"
"109",109,"Uganda","53,961","+1,026","383","","47,760","","5,818","24","1,146","8","1,151,421","24,460","47,073,485","Africa","872","122,907",41,22,NA,"124"
"110",110,"Jamaica","48,983","+32","971","+1","26,424","+129","21,588","7","16,475","327","394,958","132,840","2,973,189","North America","61","3,062",8,11,0.3,"7,261"
"111",111,"Ivory Coast","47,490","","306","","46,969","","215","","1,760","11","654,588","24,260","26,982,137","Africa","568","88,177",41,NA,NA,"8"
"112",112,"Madagascar","41,742","+52","866","+5","40,870","+57","6","123","1,472","31","205,410","7,246","28,348,924","Africa","679","32,735",138,2,0.2,"0.2"
"113",113,"Senegal","41,713","+33","1,148","+2","40,298","+17","267","5","2,432","67","529,540","30,874","17,151,628","Africa","411","14,940",32,2,0.1,"16"
"114",114,"Zimbabwe","39,189","","1,606","","36,728","","855","1","2,602","107","485,600","32,237","15,063,589","Africa","384","9,380",31,NA,NA,"57"
"115",115,"Sudan","36,004","","2,697","","29,716","","3,591","","804","60","232,965","5,201","44,796,168","Africa","1,244","16,610",192,NA,NA,"80"
"116",116,"Angola","35,772","","797","","28,880","","6,095","9","1,058","24","587,595","17,380","33,809,466","Africa","945","42,421",58,NA,NA,"180"
"117",117,"Cambodia","34,833","+589","266","+3","28,092","+945","6,475","","2,057","16","1,195,788","70,616","16,933,607","Asia","486","63,660",14,35,0.2,"382"
"118",118,"Malawi","34,390","","1,157","","32,667","","566","10","1,756","59","248,986","12,712","19,586,779","Africa","570","16,929",79,NA,NA,"29"
"119",119,"DRC","33,338","+136","805","+1","27,751","","4,782","","362","9","163,710","1,778","92,073,973","Africa","2,762","114,378",562,1,0.01,"52"
"120",120,"Cabo Verde","31,097","","267","","29,647","","1,183","23","55,373","475","161,272","287,168","561,594","Africa","18","2,103",3,NA,NA,"2,107"
"121",121,"Malta","30,571","","419","","30,080","+2","72","","69,066","947","942,552","2,129,402","442,637","Europe","14","1,056",0,NA,NA,"163"
"122",122,"Australia","30,194","+19","910","","29,147","+21","137","1","1,171","35","18,921,069","734,100","25,774,528","Australia/Oceania","854","28,324",1,0.7,NA,"5"
"123",123,"Rwanda","27,245","","360","","26,225","","660","7","2,056","27","1,471,375","111,055","13,249,033","Africa","486","36,803",9,NA,NA,"50"
"124",124,"Trinidad and Tobago","26,410","","577","","15,911","","9,922","22","18,815","411","198,200","141,198","1,403,704","North America","53","2,433",7,NA,NA,"7,068"
"125",125,"French Guiana","24,935","+210","126","+5","9,995","","14,814","30","81,531","412","262,786","859,238","305,836","South America","12","2,427",1,687,16,"48,438"
"126",126,"Réunion","24,901","","189","","22,796","","1,916","35","27,629","210","102,720","113,975","901,251","Africa","36","4,769",9,NA,NA,"2,126"
"127",127,"Syria","24,659","","1,793","","21,635","","1,231","","1,378","100","103,566","5,788","17,893,738","Asia","726","9,980",173,NA,NA,"69"
"128",128,"Gabon","24,591","","154","","22,815","","1,622","17","10,813","68","821,940","361,403","2,274,304","Africa","92","14,768",3,NA,NA,"713"
"129",129,"Guinea","23,255","","162","","21,284","","1,809","24","1,727","12","455,009","33,800","13,461,858","Africa","579","83,098",30,NA,NA,"134"
"130",130,"Mayotte","20,176","","173","","2,964","","17,039","6","72,341","620","176,919","634,343","278,901","Africa","14","1,612",2,NA,NA,"61,093"
"131",131,"Mauritania","19,817","","468","","18,805","","544","16","4,161","98","275,152","57,774","4,762,588","Africa","240","10,176",17,NA,NA,"114"
"132",132,"French Polynesia","18,889","","142","","18,721","","26","1","66,883","503","26,355","93,319","282,418","Australia/Oceania","15","1,989",11,NA,NA,"92"
