"","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop","Population","Continent","1 Caseevery X ppl","1 Deathevery X ppl","1 Testevery X ppl","New Cases/1M pop","New Deaths/1M pop","Active Cases/1M pop"
"140","Mali","14,302","","519","","9,880","","3,903","","688","25","301,621","14,507","20,790,954","Africa","1,454","40,060",69,NA,NA,"188"
"141","Andorra","13,777","","127","","13,557","","93","3","178,043","1,641","193,595","2,501,874","77,380","Europe","6","609",0,NA,NA,"1,202"
"142","Togo","13,542","","125","","13,250","","167","","1,601","15","341,201","40,337","8,458,706","Africa","625","67,670",25,NA,NA,"20"
"143","Burkina Faso","13,453","","167","","13,265","","21","","628","8","190,723","8,898","21,434,280","Africa","1,593","128,349",112,NA,NA,"1.0"
"144","Tajikistan","13,308","","90","","13,218","","0","","1,367","9","","","9,736,420","Asia","732","108,182",NA,NA,NA,""
"145","Belize","12,899","","325","","12,442","","132","2","31,902","804","138,154","341,682","404,335","North America","31","1,244",3,NA,NA,"326"
"146","Seychelles","12,466","","46","","11,336","","1,084","","126,027","465","21,504","217,399","98,915","Africa","8","2,150",5,NA,NA,"10,959"
"147","Curaçao","12,280","","123","","12,137","","20","4","74,551","747","113,993","692,045","164,719","North America","13","1,339",1,NA,NA,"121"
"148","Martinique","12,040","","95","","98","","11,847","8","32,107","253","182,468","486,590","374,993","North America","31","3,947",2,NA,NA,"31,593"
"149","Congo","12,026","","157","","11,110","","759","","2,131","28","155,793","27,603","5,644,028","Africa","469","35,949",36,NA,NA,"134"
"150","Bahamas","12,024","","232","","11,026","","766","3","30,307","585","100,093","252,286","396,744","North America","33","1,710",4,NA,NA,"1,931"
"151","Hong Kong","11,869","+3","210","","11,584","","75","1","1,571","28","16,710,131","2,212,189","7,553,663","Asia","636","35,970",0,0.4,NA,"10"
"152","Taiwan","11,694","+219","308","+22","1,133","","10,253","","490","13","1,197,200","50,182","23,857,014","Asia","2,040","77,458",20,9,0.9,"430"
"153","Djibouti","11,565","","154","","11,389","","22","","11,549","154","161,876","161,655","1,001,365","Africa","87","6,502",6,NA,NA,"22"
"154","Aruba","11,059","","107","","10,886","","66","14","103,173","998","168,768","1,574,490","107,189","North America","10","1,002",1,NA,NA,"616"
"155","Lesotho","10,837","","326","","6,437","","4,074","","5,022","151","94,973","44,008","2,158,076","Africa","199","6,620",23,NA,NA,"1,888"
"156","South Sudan","10,688","","115","","10,514","","59","","945","10","164,472","14,535","11,315,902","Africa","1,059","98,399",69,NA,NA,"5"
"157","Vietnam","9,103","+120","55","+2","3,509","","5,539","","93","0.6","4,941,514","50,344","98,154,567","Asia","10,783","1,784,628",20,1,0.02,"56"
"158","Equatorial Guinea","8,626","","118","","8,203","","305","7","5,967","82","123,169","85,202","1,445,611","Africa","168","12,251",12,NA,NA,"211"
"159","Benin","8,082","","102","","7,893","","87","5","651","8","604,310","48,666","12,417,489","Africa","1,536","121,740",21,NA,NA,"7"
"160","Timor-Leste","7,764","","17","","5,515","","2,232","","5,786","13","92,122","68,657","1,341,771","Asia","173","78,928",15,NA,NA,"1,663"
"161","Nicaragua","7,481","","187","","4,225","","3,069","","1,117","28","","","6,697,925","North America","895","35,818",NA,NA,NA,"458"
"162","CAR","7,101","","98","","6,859","","144","2","1,447","20","54,814","11,169","4,907,810","Africa","691","50,080",90,NA,NA,"29"
"163","Yemen","6,812","","1,336","","3,588","","1,888","23","224","44","73,845","2,426","30,435,575","Asia","4,468","22,781",412,NA,NA,"62"
"164","Iceland","6,612","","30","","6,530","","52","2","19,260","87","689,619","2,008,747","343,308","Europe","52","11,444",0,NA,NA,"151"
"165","Gambia","6,002","","179","","5,800","","23","3","2,421","72","81,795","32,988","2,479,552","Africa","413","13,852",30,NA,NA,"9"
"166","Niger","5,439","","192","","5,132","","115","2","217","8","109,969","4,396","25,016,095","Africa","4,599","130,292",227,NA,NA,"5"
"167","Saint Lucia","5,138","","80","","4,905","","153","","27,862","434","49,423","268,006","184,410","North America","36","2,305",4,NA,NA,"830"
"168","San Marino","5,090","","90","","4,998","","2","","149,715","2,647","66,865","1,966,733","33,998","Europe","7","378",1,NA,NA,"59"
"169","Chad","4,940","","174","","4,760","","6","","293","10","121,889","7,228","16,862,338","Africa","3,413","96,910",138,NA,NA,"0.4"
"170","Burundi","4,925","","8","","773","","4,144","","403","0.7","309,390","25,321","12,218,615","Africa","2,481","1,527,327",39,NA,NA,"339"
"171","Eritrea","4,499","","14","","3,987","","498","","1,252","4","23,693","6,596","3,592,087","Africa","798","256,578",152,NA,NA,"139"
"172","Gibraltar","4,300","","94","","4,199","","7","","127,665","2,791","259,601","7,707,410","33,682","Europe","8","358",0,NA,NA,"208"
"173","Sierra Leone","4,208","","79","","3,161","","968","","518","10","153,257","18,856","8,127,606","Africa","1,931","102,881",53,NA,NA,"119"
"174","Channel Islands","4,076","","86","","3,956","","34","","23,244","490","454,413","2,591,374","175,356","Europe","43","2,039",0,NA,NA,"194"
"175","Barbados","4,032","","47","","3,922","","63","","14,014","163","173,740","603,887","287,703","North America","71","6,121",2,NA,NA,"219"
"176","Comoros","3,890","","146","","3,736","","8","","4,387","165","","","886,796","Africa","228","6,074",NA,NA,NA,"9"
